text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km�),Density (P/Km�)
Last session of the day  http://twitpic.com/67ezh,neutral,morning,0-20,Afghanistan,38928346,652860,60
 Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,positive,noon,21-30,Albania,2877797,27400,105
"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",negative,night,31-45,Algeria,43851044,2381740,18
 happy bday!,positive,morning,46-60,Andorra,77265,470,164
 http://twitpic.com/4w75p - I like it!!,positive,noon,60-70,Angola,32866272,1246700,26
 that`s great!! weee!! visitors!,positive,night,70-100,Antigua and Barbuda,97929,440,223
I THINK EVERYONE HATES ME ON HERE   lol,negative,morning,0-20,Argentina,45195774,2736690,17
" soooooo wish i could, but im in school and myspace is completely blocked",negative,noon,21-30,Armenia,2963243,28470,104
 and within a short time of the last clue all of them,neutral,night,31-45,Australia,25499884,7682300,3
 What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,neutral,morning,46-60,Austria,9006398,8.24E+04,109
My bike was put on hold...should have known that.... argh total bummer,negative,noon,60-70,Azerbaijan,10139177,82658,123
 I checked.  We didn`t win,neutral,night,70-100,Bahamas,393244,10010,39
 .. and you`re on twitter! Did the tavern bore you that much?,neutral,morning,0-20,Bahrain,1701575,760,2239
"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",negative,noon,21-30,Bangladesh,164689383,130170,1265
Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,negative,night,31-45,Barbados,287375,430,668
"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",negative,morning,46-60,Belarus,9449323,202910,47
 Miss you,negative,noon,60-70,Belgium,11589623,30280,383
Cramps . . .,negative,night,70-100,Belize,397628,22810,17
 you guys didn`t say hi or answer my questions yesterday  but nice songs.,positive,morning,0-20,Benin,12123200,112760,108
"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",neutral,noon,21-30,Bhutan,771608,3.81E+04,20
Stupid storm. No river for us tonight,negative,night,31-45,Bolivia,11673021,1083300,11
My dead grandpa pays more attention to me than you do,negative,morning,46-60,Bosnia and Herzegovina,3280819,51000,64
"... need retail therapy, bad. AHHH.....gimme money geebus",negative,noon,60-70,Botswana,2351627,566730,4
about to go to sleep,neutral,night,70-100,Brazil,212559417,8358140,25
 you are lame  go make me breakfast!!,negative,morning,0-20,Brunei,437479,5270,83
 thats so cool,positive,noon,21-30,Bulgaria,6948445,108560,64
"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",neutral,night,31-45,Burkina Faso,20903273,273600,76
